SYMBOL,DATE,OPEN,HIGH,LOW,VOLUME,CLOSE
ENGRO,6/4/2002,58.5,60.5,58.5,2597000,59.35
ENGRO,6/5/2002,59.25,61.75,59.25,4559400,61.4
ENGRO,6/6/2002,60.75,61.6,59.9,3850300,59.9
ENGRO,6/7/2002,59.75,59.85,58.45,1974500,58.75
ENGRO,6/10/2002,61.2,62,60.25,4948300,61.4
ENGRO,6/11/2002,62.35,62.35,60.9,4459700,61.75
ENGRO,6/12/2002,61.3,63.7,61.3,6346900,62.8
ENGRO,6/13/2002,62.85,64,62.1,5184300,63.8
ENGRO,6/14/2002,62.85,64,62.1,5184300,63.8
ENGRO,6/17/2002,62.6,63,61.85,2124300,62.35
ENGRO,6/18/2002,62.1,63,62.1,1666200,62.35
ENGRO,8/1/2002,59.7,60,59.2,1283000,59.25
ENGRO,8/2/2002,59.15,59.3,59.05,561000,59.25
ENGRO,8/5/2002,59.15,59.65,58.5,1541600,59.35
ENGRO,8/6/2002,59.25,59.65,59.1,702100,59.15
ENGRO,8/7/2002,59.25,60.1,59.25,2339400,59.8
ENGRO,8/8/2002,59.9,60.4,59.75,2794900,59.9
ENGRO,8/9/2002,60,60.6,59.65,1964800,60.2
ENGRO,8/13/2002,61,62.05,60.45,10192400,61
ENGRO,8/15/2002,61.1,61.25,60.5,1860500,60.5
ENGRO,8/16/2002,60.5,60.75,60.2,983700,60.4
ENGRO,8/19/2002,60.6,62.05,60.6,7755300,61.55
ENGRO,8/20/2002,61.65,63,61.65,9397300,62.3
ENGRO,8/21/2002,62.5,64.9,62.1,13864700,64.3
ENGRO,8/22/2002,65.05,66.8,64.5,21442200,65.5
ENGRO,8/23/2002,64.75,64.75,62.35,6418200,63
ENGRO,8/26/2002,62.8,63.9,62.4,6751300,63.15
ENGRO,8/28/2002,64.75,65.15,62.9,7258300,63
ENGRO,8/29/2002,63,64.6,62.9,8100200,63.85
ENGRO,8/30/2002,64,64.5,63.5,4442400,63.65
ENGRO,9/2/2002,0,64.1,61,3383100,61.65
ENGRO,9/3/2002,62.15,62.4,61.55,2690800,62.05
ENGRO,9/4/2002,62.25,62.65,62.15,163600,62.45
ENGRO,9/5/2002,62.75,62.75,62.25,82500,62.5
ENGRO,9/6/2002,62.75,63,62.5,157900,62.75
ENGRO,9/9/2002,62.65,62.85,62.1,198900,62.4
ENGRO,9/10/2002,62,62.5,61.9,288900,62.25
ENGRO,9/11/2002,60.05,60.6,59.55,1832800,60.35
ENGRO,9/12/2002,60.4,60.75,59.8,860600,60
ENGRO,9/13/2002,59.65,60.75,59.55,1747800,60.55
ENGRO,9/16/2002,60.75,61.1,60.05,1598900,60.2
ENGRO,9/17/2002,60.35,62.3,60.25,12063300,62.25
ENGRO,9/18/2002,62.4,62.6,60.95,5338200,61.1
ENGRO,9/19/2002,61,61.9,61,3415600,61.6
ENGRO,9/20/2002,61.75,62.9,61.5,10466200,62.4
ENGRO,9/23/2002,62.5,62.8,62.25,3603500,62.55
ENGRO,9/24/2002,62.5,63,62.5,5731500,62.55
ENGRO,9/25/2002,62.65,62.9,62.3,2956500,62.3
ENGRO,9/26/2002,62.4,63.35,62.3,7826300,62.8
ENGRO,9/27/2002,0,63.55,63.15,834500,63.35
ENGRO,9/30/2002,63.75,63.8,62.95,3802100,63.1
ENGRO,10/1/2002,63.25,63.3,62.7,3255500,62.7
ENGRO,10/2/2002,62.9,63.75,62.9,5365900,63.45
ENGRO,10/3/2002,63.5,64.05,62.75,7163600,63.1
ENGRO,10/4/2002,63.1,63.7,63.1,2978700,63.45
ENGRO,10/7/2002,63.55,64.45,63.55,5797400,63.85
ENGRO,10/8/2002,64.15,65.95,64.15,13784400,65.4
ENGRO,10/9/2002,65.65,68,65.5,21171200,67.2
ENGRO,10/11/2002,66.3,66.3,63.85,8986900,64.2
ENGRO,10/14/2002,63.85,65.25,62.7,9231000,65
ENGRO,10/15/2002,65.3,66.7,65.2,14170300,66.45
ENGRO,10/16/2002,66.75,67.2,66.3,9011900,66.45
ENGRO,10/17/2002,67.25,67.45,66.2,7176000,66.35
ENGRO,10/18/2002,66.7,67.7,66.35,11143400,67.6
ENGRO,10/21/2002,67.85,68,67.3,6683400,67.35
ENGRO,10/22/2002,67.05,67.9,66.1,7523500,66.45
ENGRO,10/23/2002,66.5,68.1,66.5,12081600,67.65
ENGRO,10/24/2002,68.25,69.6,68.15,15668600,69.3
ENGRO,10/25/2002,69.75,69.85,67.9,7712600,68.3
ENGRO,10/28/2002,68.3,68.4,67.05,2856200,67.1
ENGRO,10/29/2002,67.3,67.5,66.55,2294900,67.1
ENGRO,10/30/2002,67.3,67.9,66.8,3069700,67.6
ENGRO,10/31/2002,68,70.65,67.95,19938400,70
ENGRO,11/1/2002,72,75.25,71.15,29477800,75.1
ENGRO,11/4/2002,74,75.7,71.65,24876400,72.2
ENGRO,11/5/2002,73,75.7,72.55,16222100,74.55
ENGRO,11/6/2002,74.25,75.2,70.85,11485700,71.25
ENGRO,11/8/2002,72.5,73.6,71.75,5910000,72.6
ENGRO,11/11/2002,72.5,72.85,71.45,4317500,72.1
ENGRO,11/12/2002,72.65,73.5,72.25,6147300,72.7
ENGRO,11/13/2002,73.1,74.35,73,8650000,74
ENGRO,11/14/2002,74.6,75.25,73.5,6351800,73.65
ENGRO,11/15/2002,73.5,74.1,73,2032900,73.3
ENGRO,11/18/2002,74.1,74.6,73.8,4361000,74.15
ENGRO,11/19/2002,74.45,75.6,74.4,10300600,74.9
ENGRO,11/20/2002,75.5,75.5,74.6,5575900,74.8
ENGRO,11/21/2002,75,75.2,74.2,2393300,74.8
ENGRO,11/22/2002,74.8,75.3,74,2460000,74.5
ENGRO,11/25/2002,74.2,74.7,73.4,1601800,73.65
ENGRO,11/26/2002,73.8,74,72.9,1422500,73
ENGRO,11/27/2002,73,73,71.25,1852300,71.3
ENGRO,11/28/2002,70.5,71.9,70.05,4199400,70.05
ENGRO,11/29/2002,71.4,72.5,70.7,517900,72.25
ENGRO,12/2/2002,73.35,73.5,72,331000,73.2
ENGRO,12/4/2002,74,74.95,73.6,589700,74.8
ENGRO,12/9/2002,75,77.6,74.5,1202800,76.7
ENGRO,12/10/2002,76.6,78.5,76,1104000,77
ENGRO,12/11/2002,75.5,76.75,74.85,9458100,75.6
ENGRO,12/12/2002,76.35,77.5,75.85,9494400,76.6
ENGRO,12/13/2002,77,77.95,76.85,9984500,77.3
ENGRO,12/16/2002,77.55,78.25,77.35,5872400,77.6
ENGRO,12/17/2002,78.1,79,77.4,13980600,77.4
ENGRO,12/18/2002,77.65,78.65,76.9,13218100,78.1
ENGRO,12/19/2002,78.6,80.75,78.05,20840800,79.7
ENGRO,12/20/2002,80.4,83.95,80.15,23469700,82.95
