SYMBOL,DATE,OPEN,HIGH,LOW,VOLUME,CLOSE
OGDC,1/24/2017,157.9,157.9,155.7,2760200,157.24
OGDC,1/23/2017,155.85,157.17,155.5,2085200,156.98
OGDC,1/20/2017,153.99,156,153.99,1948500,155.3
OGDC,1/19/2017,157.7,157.7,152,6273900,153.44
OGDC,1/18/2017,163.02,163.02,157.56,12504300,157.81
OGDC,1/17/2017,167.51,167.51,161.15,2767700,165.85
OGDC,1/16/2017,169,169,166.99,1506000,167.6
OGDC,1/13/2017,169.8,170,167.99,835300,168.32
OGDC,1/12/2017,169,169.4,167.89,1957200,168.68
OGDC,1/11/2017,167,168.9,166.76,820000,167.9
OGDC,1/10/2017,167.22,168.29,166.2,1929500,167.94
OGDC,1/9/2017,170.35,171.25,167.8,3842300,168.16
OGDC,1/6/2017,169.95,171,169.3,2445500,170.19
OGDC,1/5/2017,169.4,170.4,168.11,3285200,169.27
OGDC,1/4/2017,169.4,171.7,168.3,4088800,168.96
OGDC,1/3/2017,166.4,172,165.55,8871600,170.74
OGDC,1/2/2017,165.23,167.74,165.23,2102200,166.15
OGDC,12/30/2016,164.55,167.01,164.55,3257600,165.35
OGDC,12/29/2016,165.5,166.25,164,2035900,164.88
OGDC,12/28/2016,164.4,165.95,164.4,2877000,165.08
OGDC,12/27/2016,162.7,164.49,162.7,1316800,164.02
OGDC,12/26/2016,162.98,163.85,162.8,2542300,163.48
OGDC,12/23/2016,162,162.95,161,1316800,162.32
OGDC,12/22/2016,163.3,164,161.54,1044500,161.88
OGDC,12/21/2016,164.65,165.01,161.98,4055200,164.28
OGDC,12/20/2016,166,166,162.99,4287300,163.77
OGDC,12/19/2016,170,171.05,165.06,7794100,165.78
OGDC,12/16/2016,167,167.49,165.6,5805900,166.53
OGDC,12/15/2016,162.1,168.49,162.01,6859300,166.05
OGDC,12/14/2016,161.99,165.3,161,10179800,164.42
OGDC,12/13/2016,161.49,164.19,160.5,15501900,162.85
OGDC,12/9/2016,154.4,157.2,153.98,6757100,156.38
OGDC,12/8/2016,152.5,153.89,151,2345300,153.05
OGDC,12/7/2016,155.01,155.9,152.95,4076700,153.74
OGDC,12/6/2016,153.9,157.39,152.6,9158600,156.29
OGDC,12/5/2016,146.1,154.44,146.01,6616300,154.34
OGDC,12/5/2016,146.1,154.44,146.01,6616300,154.34
OGDC,12/2/2016,148,148,146.5,2626800,147.09
OGDC,12/1/2016,147,148,145.5,6981000,146.77
OGDC,11/30/2016,141.56,142.42,139.9,3333200,141.04
OGDC,11/29/2016,143.85,144.5,141.85,884400,142.02
OGDC,11/28/2016,144.15,145.9,143.1,486900,143.84
OGDC,11/25/2016,145.75,146.5,144.01,578100,145.53
OGDC,11/24/2016,145.5,146.95,145.1,1491300,145.75
OGDC,11/23/2016,143.75,145.5,142.9,3163900,145
OGDC,11/22/2016,142.7,144.02,142.7,1131300,143.79
OGDC,11/21/2016,141,141.5,140.7,474800,141.34
OGDC,11/18/2016,140.5,140.65,139.05,555700,139.96
OGDC,11/17/2016,140.94,141,140.22,594300,140.74
OGDC,11/16/2016,141,142,140.1,1173900,140.64
OGDC,11/15/2016,139.98,140.99,139.5,737500,140.05
OGDC,11/14/2016,139.85,140.5,139,513200,139.99
OGDC,11/11/2016,140.95,141.35,139.8,482600,140.52
OGDC,11/10/2016,140.3,142.05,140.2,724500,140.82
OGDC,11/9/2016,140.12,140.5,138.02,1876600,140.05
OGDC,11/8/2016,142.1,143.67,140.75,1314300,142.06
OGDC,11/7/2016,142.2,143.5,141.8,1597400,142.93
OGDC,11/4/2016,142.81,143,142,2499200,142.62
OGDC,11/3/2016,142.9,143.48,141.52,769700,142.87
OGDC,11/2/2016,144,144,141.14,1254400,142.84
OGDC,11/1/2016,140.15,144.35,139.51,1713600,143.12
OGDC,10/31/2016,140,141.01,139.3,1119100,140.62
OGDC,10/28/2016,139,141.48,139,1388300,140.28
OGDC,10/27/2016,142.5,142.89,139.72,997900,140.66
OGDC,10/26/2016,145.19,145.19,142.02,1831900,142.48
OGDC,10/25/2016,144.7,145.3,143.5,862400,145.1
OGDC,10/24/2016,145,145.99,145,1624700,145.05
OGDC,10/21/2016,146,147.99,145,1833500,146.25
OGDC,10/20/2016,144,147,143.98,3968100,146.23
OGDC,10/19/2016,142.06,143.33,141,1241400,143
OGDC,10/18/2016,142.5,142.51,141,1598100,141.96
OGDC,10/17/2016,145,145,142.8,2338500,142.99
OGDC,10/14/2016,143.69,146,142.75,4044100,145.14
OGDC,10/13/2016,143.1,144.25,142.5,3644400,142.88
OGDC,10/10/2016,142.5,142.8,141.75,678100,142.6
OGDC,10/7/2016,142.8,143.75,142,2712200,142.62
OGDC,10/6/2016,141.62,142.8,141.6,1229100,141.9
OGDC,10/5/2016,142.75,143.9,141.6,3319700,142.04
OGDC,10/4/2016,143.5,143.5,141.66,2367800,141.93
OGDC,10/3/2016,141.75,142.85,141.5,1570000,141.89
OGDC,9/30/2016,142.45,142.49,140.95,1935800,141.23
OGDC,9/29/2016,144.29,145.2,141,4595400,141.54
OGDC,9/28/2016,139.02,139.75,138.02,311000,138.71
OGDC,9/27/2016,139.99,140,139.01,502600,139.41
OGDC,9/26/2016,140,140.08,139.07,333000,139.44
OGDC,9/23/2016,139.26,140.5,138.75,736300,139.42
OGDC,9/22/2016,138.6,140.7,138.6,1823500,139.85
OGDC,9/22/2016,138.6,140.7,138.6,1823500,139.85
OGDC,9/21/2016,138.99,138.99,137.3,984300,137.54
OGDC,9/20/2016,139,139,137.75,459600,138.36
OGDC,9/19/2016,139.7,140,138.21,585000,138.45
OGDC,9/16/2016,140.1,140.5,138.5,1967800,138.88
