SYMBOL,DATE,OPEN,HIGH,LOW,VOLUME,CLOSE
PPL,9/16/2004,109.2,114.5,109.2,48824400,109.95
PPL,9/17/2004,110.75,112.85,109.7,25681200,112.8
PPL,9/20/2004,113.3,114.6,113,13950300,114.05
PPL,9/21/2004,114.05,114.5,111.65,10554000,111.9
PPL,9/22/2004,111.5,112.5,109.5,7675400,110.45
PPL,9/23/2004,110.3,112.5,110.05,8613400,112.35
PPL,9/24/2004,112.5,113.85,112.35,8795700,113
PPL,9/27/2004,113,116.35,113,16049700,115.25
PPL,9/28/2004,115.7,118.1,115.25,16903900,117.55
PPL,9/29/2004,118.5,122.5,118.25,19869100,122.5
PPL,9/30/2004,123.4,124.2,121.25,15273700,122.2
PPL,10/1/2004,122,124.25,121,14988100,122
PPL,10/4/2004,122.5,123.15,120.55,4513100,120.55
PPL,10/5/2004,120.75,121.6,119.5,5775500,121.15
PPL,10/6/2004,121.25,122.7,120.8,5888400,120.85
PPL,10/7/2004,121,122.15,120.5,4007500,120.6
PPL,10/8/2004,121.15,123,120.65,5424900,122.1
PPL,10/11/2004,122.1,122.7,121.3,2245500,121.8
PPL,10/12/2004,121.85,122.45,119.85,3489800,120
PPL,10/13/2004,120.5,124,120,2965400,124
PPL,10/14/2004,124.5,126,124.25,3035200,125.75
PPL,10/15/2004,125.9,125.9,123.6,482500,123.7
PPL,10/18/2004,124.6,124.75,122.5,1049100,122.55
PPL,10/19/2004,119.5,122.4,118.1,2417600,122.15
PPL,10/20/2004,122.75,123.1,121.2,2252700,121.3
PPL,10/21/2004,121.15,122,120.6,890200,120.8
PPL,10/22/2004,120.25,121.7,120.25,592100,120.75
PPL,10/25/2004,121,122.45,119.9,4429300,120
PPL,10/26/2004,121,121,119,4153600,119.35
PPL,10/27/2004,120.35,120.35,118.05,2106300,118.8
PPL,10/28/2004,119.5,119.5,117.35,2785600,117.75
PPL,10/29/2004,117.75,118.9,116,2900800,116.05
PPL,11/1/2004,116.1,117.05,114.5,2641800,114.5
PPL,11/2/2004,114,116.25,114,9607800,116.2
PPL,11/3/2004,117.6,118.3,115.6,5999000,116.1
PPL,11/4/2004,117.4,117.9,116.1,2074200,116.85
PPL,11/5/2004,116.25,117,116.05,594300,116.75
PPL,11/8/2004,117.1,119,117,3319600,118.8
PPL,11/10/2004,119,119.25,118.5,1120600,118.7
PPL,11/12/2004,119,120.25,118.75,3247400,119.85
PPL,11/18/2004,120.4,121,119.25,3184800,120.9
PPL,11/19/2004,120.9,121.5,120.1,2737300,120.5
PPL,11/22/2004,120.7,120.7,119.3,2571600,119.75
PPL,11/23/2004,119.65,120.35,119.4,1120800,119.45
PPL,11/24/2004,120.4,121.95,120.25,9059800,121.55
PPL,11/25/2004,121.6,122.15,121.05,2488000,121.05
PPL,11/26/2004,121,122.95,120.9,5475600,121.9
PPL,11/29/2004,122.2,122.6,121.7,3590200,121.9
PPL,11/30/2004,121.9,122.45,121.3,1733100,121.6
PPL,12/1/2004,121.8,121.9,121,847200,121.25
PPL,12/2/2004,121.25,121.3,120.4,993400,120.4
PPL,12/3/2004,120.35,120.85,120.15,598000,120.3
PPL,12/6/2004,120.5,120.95,120.5,660500,120.8
PPL,12/7/2004,121.1,122.1,121.1,3368400,122
PPL,12/8/2004,122.4,123.2,122.05,4015000,122.75
PPL,12/9/2004,123,124,122.55,4726500,122.75
PPL,12/10/2004,123.25,123.25,120.5,2096900,121.4
PPL,12/13/2004,121.4,122.05,121,510800,121.1
PPL,12/14/2004,121.55,121.7,120.6,695300,120.7
PPL,12/15/2004,121.4,124.75,120.75,10893100,124.55
PPL,12/16/2004,126,131.8,125,8576200,125.4
PPL,12/17/2004,125.8,128.6,124,8328100,127.35
PPL,12/20/2004,127.5,130,127.5,7261400,129.8
PPL,12/21/2004,129.7,130.8,128.7,6469400,129.25
PPL,12/22/2004,129,132.15,129,9330000,131.3
PPL,12/23/2004,131.4,133.75,131.4,11503400,132.8
PPL,12/24/2004,132.65,135.8,132,8504100,135.5
PPL,12/27/2004,136,138.3,135.8,8623100,136.6
PPL,12/28/2004,137,137.15,135.7,2865000,136
PPL,12/29/2004,136,137.2,136,2576600,136.8
PPL,12/30/2004,137.4,139.15,136.6,7776000,137.05
PPL,12/31/2004,137.5,144.15,137.5,14982600,144.15
PPL,1/3/2005,144.15,145.5,141.1,4595600,141.1
