SYMBOL,DATE,OPEN,HIGH,LOW,VOLUME,CLOSE
PSO,1/19/2004,284,289.5,284,21451000,287
PSO,1/20/2004,286.8,290.8,286,18492500,290.7
PSO,1/21/2004,292.1,293.75,288.1,20473700,288.75
PSO,1/22/2004,289,291.5,287.5,10111000,290.7
PSO,1/23/2004,291,291,286.55,7938000,286.6
PSO,1/26/2004,286.5,286.5,279.25,8924500,279.5
PSO,1/27/2004,278.55,284.1,278.55,8232200,283.75
PSO,1/28/2004,285.5,285.8,281.7,5627900,283
PSO,1/29/2004,284,284.9,282.5,5841800,283.7
PSO,1/30/2004,283.55,288.4,282.45,15960900,287.65
PSO,2/6/2004,287.15,288,285.85,5646700,286.5
PSO,2/9/2004,287.6,287.9,282.1,5397900,282.5
PSO,2/10/2004,282,287.4,281.5,11404400,286.6
PSO,2/11/2004,288,289.4,286.6,16934100,287.75
PSO,2/12/2004,286.5,287,283.3,7003500,284.5
PSO,2/13/2004,284,290,283.75,9119400,290
PSO,2/16/2004,290.75,291.4,286.25,10464700,286.5
PSO,2/17/2004,287,287.5,284.05,7614700,285.15
PSO,2/18/2004,285.6,292.1,284.7,25497500,291.7
PSO,2/19/2004,290.55,292.5,287.25,18404100,288
PSO,2/20/2004,290,292,288.35,18045400,291.4
PSO,2/23/2004,291.75,292,283.5,10583500,283.9
PSO,2/24/2004,282.25,287.6,282.25,11771400,287
PSO,2/25/2004,287.4,289.65,286.35,9548700,289.65
PSO,2/26/2004,289.5,291.15,288.3,8913300,290.05
PSO,2/27/2004,290.9,293.4,289.15,13933500,293.1
PSO,3/3/2004,290.1,292.9,290.1,5190200,291.45
PSO,3/4/2004,292.5,292.8,291.15,5786300,291.4
PSO,3/5/2004,290.85,291.95,289.25,7395600,290.25
PSO,3/8/2004,290,291.2,289.15,4387300,289.55
PSO,3/9/2004,289.3,293.75,289.3,935800,292.95
PSO,3/10/2004,293.65,293.9,290.1,828400,292.7
PSO,3/11/2004,293,293.65,292,1472700,293.5
PSO,3/12/2004,293.5,294.75,293.5,1249300,293.5
PSO,3/15/2004,293.2,294.8,293.2,261400,294.05
PSO,3/16/2004,287.55,288.75,286.8,3022300,287.2
PSO,3/17/2004,287.8,288.1,286.05,3726300,286.35
PSO,3/18/2004,287,287.2,284.75,2520300,284.9
PSO,3/19/2004,285,288.2,284.75,11005300,287.2
PSO,3/22/2004,287.9,288.9,286.25,5689100,286.3
PSO,3/24/2004,286.55,287.65,285.5,3467400,286.3
PSO,3/25/2004,286.95,287.3,286.05,2670900,286.2
PSO,3/26/2004,287.5,290.75,287.05,12986700,287.25
PSO,3/29/2004,287.8,288.85,284.45,8170700,286.3
PSO,3/30/2004,286.9,288.1,284.5,5044300,285.25
PSO,3/31/2004,285.9,286.1,283.7,3080700,285.45
PSO,4/1/2004,285.95,287.2,284.3,6205000,284.95
PSO,4/2/2004,285.05,285.85,284.15,3754300,284.75
PSO,4/5/2004,285.25,286.4,284.7,3967500,285.3
